Location,Price,Bedrooms,Bathrooms,Size
San Simeon,274900,2,2,1218
 Nipomo,175000,2,2,1152
 Morro Bay,535000,2,2,1410
 Pismo Beach,540000,2,1,817
 Cambria,389000,2,2,703
Paso Robles,250000,3,2,1425
 Paso Robles,425000,3,2,1807
 Out Of Area,1195000,5,4,3800
 Los Osos,1350000,3,3,2502
Santa Maria-Orcutt,78500,1,1,800
 Paso Robles,549000,3,2,2237
 Santa Maria-Orcutt,399900,4,2,1860
Atascadero,699000,10,11,4905
 Santa Maria-Orcutt,129000,2,2,1200
 Cambria,480000,2,2,1698
Nipomo,189000,3,1,1022
 Pismo Beach,639900,3,2,2080
 Santa Maria-Orcutt,699900,5,4,3000
 Grover Beach,999000,3,3,3621
 Arroyo Grande,599000,3,2,1570
 Santa Maria-Orcutt,365000,4,2,1860
Cambria,359900,3,2,1840
 Arroyo Grande,995000,4,4,3740
Lompoc,193450,4,2,1217
Santa Maria-Orcutt,179900,3,3,1520
Grover Beach,329900,3,2,1240
 Templeton,509000,3,2,1936
 Atascadero,995000,3,3,2044
 Pismo Beach,545000,3,2,1946
 Pismo Beach,795000,3,3,2028
 Atascadero,830000,4,3,2700
 Arroyo Grande,54500,2,1,624
 Arroyo Grande,149000,3,2,1800
 Santa Maria-Orcutt,36000,2,2,1056
 Paso Robles,349000,3,2,1467
Santa Maria-Orcutt,299900,4,3,2150
 Morro Bay,469000,4,2,2004
 Oceano,1195000,2,2,1044
Solvang,419900,3,2,1576
 Los Osos,189000,2,2,1536
Lompoc,163900,3,2,1082
Lompoc,163900,3,2,1237
 Los Osos,648000,3,3,2193
Santa Maria-Orcutt,130000,3,2,1022
Atascadero,264900,3,2,1232
Santa Maria-Orcutt,189900,4,2,1435
Santa Maria-Orcutt,200000,4,2,1430
 Arroyo Grande,1249000,3,3,2480
 Cayucos,525000,3,3,1832
 Cambria,729000,3,3,1953
Santa Maria-Orcutt,109900,3,2,1100
 Santa Maria-Orcutt,850000,3,2,2481
Santa Maria-Orcutt,249500,3,2,1704
Oceano,179900,3,2,1161
 Los Osos,149000,3,2,1440
 Creston,549000,3,2,1701
 Atascadero,435000,3,2,1536
 Atascadero,299000,3,2,1310
 Los Osos,625000,3,2,2187
Santa Maria-Orcutt,399000,4,3,2100
Out Of Area,186900,4,2,1511
 Cambria,1290000,3,3,2130
Solvang,264900,2,3,1400
Lompoc,198900,3,2,1225
 Paso Robles,318000,3,3,1868
 Cambria,2000000,4,4,3576
 Cambria,598000,2,3,2219
Paso Robles,439900,3,3,2508
 Pismo Beach,920000,3,3,2817
Santa Maria-Orcutt,179900,3,2,1972
Templeton,325000,2,1,952
 Grover Beach,369000,3,2,1080
 Santa Maria-Orcutt,312900,3,2,1454
 Atascadero,575000,3,3,1961
 Santa Maria-Orcutt,26500,2,2,1344
 San Luis Obispo,2369000,5,6,4174
 Atascadero,67500,2,2,120
 San Luis Obispo,1490000,3,3,3201
 Morro Bay,652000,3,2,1427
 Atascadero,449000,3,3,2100
 Morro Bay,982800,3,2,2306
Santa Maria-Orcutt,235000,4,3,2100
 Paso Robles,579900,4,3,3166
Santa Maria-Orcutt,250000,3,2,1280
Coalinga,100000,3,1,870
Coalinga,125000,2,1,960
 Cambria,650000,2,2,919
Santa Maria-Orcutt,119900,2,2,1034
San Miguel,209900,3,2,1356
 Paso Robles,524900,3,2,2380
Atascadero,349000,5,3,3000
 Atascadero,349000,5,3,3000
 Cambria,825000,2,3,1840
Grover Beach,255000,3,2,1189
Nipomo,259000,4,2,1336
Paso Robles,199000,2,1,832
Santa Maria-Orcutt,410000,5,3,2100
 Paso Robles,199000,3,1,940
 Paso Robles,270000,3,2,1344
 Cayucos,695000,2,2,1437
 Cambria,2995000,5,4,3684
 Paso Robles,131900,1,2,300
 Cambria,995000,4,3,2717
 Santa Maria-Orcutt,250000,4,3,2097
